SNumber,Company Name,Mobile Price,Offer Given,Rating,RAM,ROM,Display,Camera,Battery,Processor,Phone_Warranty,Accessory_Warranty,Ratings_Count,Reviews_Count
93,"realme 11 5G (Glory Gold, 256 GB)",19999.0,13% off,4.3,8 GB,256 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
96,"realme 11x 5G (Purple Dawn, 128 GB)",15999.0,15% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,2515.0,210.0
97,"realme 11x 5G (Purple Dawn, 128 GB)",14999.0,0,4.4,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,13807.0,988.0
98,"realme 11x 5G (Midnight Black, 128 GB)",14999.0,11% off,4.4,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,13807.0,988.0
99,"realme 11x 5G (Midnight Black, 128 GB)",15999.0,15% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,2515.0,210.0
100,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
101,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
102,"realme 11 Pro+ 5G (Astral Black, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
107,"realme 11 Pro 5G (Sunrise Beige, 256 GB)",27999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,939.0,82.0
108,"realme 10 Pro 5G (Dark Matter, 128 GB)",17999.0,21% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Snapdragon 695 5G Processor,1 Year Manufacturer Warranty for Phone,No Warranty,32598.0,2376.0
109,"realme 10 Pro 5G (Hyperspace, 128 GB)",17999.0,21% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Snapdragon 695 5G Processor,1 Year Manufacturer Warranty for Phone,No Warranty,32598.0,2376.0
110,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
111,"realme 10 Pro 5G (Nebula Blue, 128 GB)",17999.0,21% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Snapdragon 695 5G Processor,1 Year Manufacturer Warranty for Phone,No Warranty,32598.0,2376.0
112,"realme 10 Pro 5G (Nebula Blue, 128 GB)",16999.0,19% off,4.3,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Snapdragon 695 5G Processor,1 Year Manufacturer Warranty for Phone,No Warranty,38372.0,2758.0
113,"realme 11 Pro 5G (Astral Black, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
114,"realme 10 Pro 5G (Dark Matter, 128 GB)",16999.0,19% off,4.3,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Snapdragon 695 5G Processor,1 Year Manufacturer Warranty for Phone,No Warranty,38372.0,2758.0
115,"realme 11 Pro 5G (Astral Black, 256 GB)",27999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,939.0,82.0
116,"realme 11 Pro 5G (Sunrise Beige, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
119,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
120,"realme 11x 5G (Purple Dawn, 128 GB)",15999.0,15% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,2515.0,210.0
121,"realme 11x 5G (Purple Dawn, 128 GB)",14999.0,0,4.4,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,13807.0,988.0
122,"realme 11x 5G (Midnight Black, 128 GB)",14999.0,11% off,4.4,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,13807.0,988.0
123,"realme 11x 5G (Midnight Black, 128 GB)",15999.0,15% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,2515.0,210.0
126,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
127,"realme 11 Pro 5G (Astral Black, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
128,"realme 11 Pro 5G (Astral Black, 256 GB)",27999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,939.0,82.0
129,"realme 11 Pro 5G (Sunrise Beige, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
132,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
133,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
134,"realme 11 Pro 5G (Oasis Green, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
135,"realme 11 Pro+ 5G (Astral Black, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
136,"realme 11 Pro 5G (Astral Black, 128 GB)",23999.0,7% off,4.3,8 GB,128 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
137,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
138,"realme 11 Pro+ 5G (Astral Black, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
139,"realme 11 5G (Glory Black, 256 GB)",19999.0,13% off,4.3,8 GB,256 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
140,"realme 11 5G (Glory Gold, 128 GB)",18999.0,9% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
141,"realme 11 5G (Glory Gold, 256 GB)",19999.0,13% off,4.3,8 GB,256 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
144,"realme 11x 5G (Purple Dawn, 128 GB)",15999.0,15% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,2515.0,210.0
145,"realme 11x 5G (Purple Dawn, 128 GB)",14999.0,0,4.4,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,13807.0,988.0
146,"realme 11x 5G (Midnight Black, 128 GB)",14999.0,11% off,4.4,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,13807.0,988.0
147,"realme 11x 5G (Midnight Black, 128 GB)",15999.0,15% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,2515.0,210.0
150,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
151,"realme 11 Pro 5G (Astral Black, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
152,"realme 11 Pro 5G (Astral Black, 256 GB)",27999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,939.0,82.0
153,"realme 11 Pro 5G (Sunrise Beige, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
156,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
157,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
158,"realme 11 Pro 5G (Oasis Green, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
159,"realme 11 Pro+ 5G (Astral Black, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
160,"realme 11 Pro 5G (Astral Black, 128 GB)",23999.0,7% off,4.3,8 GB,128 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
161,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
162,"realme 11 Pro+ 5G (Astral Black, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
163,"realme 11 5G (Glory Black, 256 GB)",19999.0,13% off,4.3,8 GB,256 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
164,"realme 11 5G (Glory Gold, 128 GB)",18999.0,9% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
165,"realme 11 5G (Glory Gold, 256 GB)",19999.0,13% off,4.3,8 GB,256 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
168,"realme 11x 5G (Purple Dawn, 128 GB)",15999.0,15% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,2515.0,210.0
169,"realme 11x 5G (Purple Dawn, 128 GB)",14999.0,0,4.4,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,13807.0,988.0
170,"realme 11x 5G (Midnight Black, 128 GB)",14999.0,11% off,4.4,6 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,13807.0,988.0
171,"realme 11x 5G (Midnight Black, 128 GB)",15999.0,15% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,2515.0,210.0
174,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
175,"realme 11 Pro 5G (Astral Black, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
176,"realme 11 Pro 5G (Astral Black, 256 GB)",27999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,939.0,82.0
177,"realme 11 Pro 5G (Sunrise Beige, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
180,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
181,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
182,"realme 11 Pro 5G (Oasis Green, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
183,"realme 11 Pro+ 5G (Astral Black, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
184,"realme 11 Pro 5G (Astral Black, 128 GB)",23999.0,7% off,4.3,8 GB,128 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
185,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
186,"realme 11 Pro+ 5G (Astral Black, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
187,"realme 11 5G (Glory Black, 256 GB)",19999.0,13% off,4.3,8 GB,256 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
188,"realme 11 5G (Glory Gold, 128 GB)",18999.0,9% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
189,"realme 11 5G (Glory Gold, 256 GB)",19999.0,13% off,4.3,8 GB,256 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
